483,0.000
804,0.032
458,0.046
343,0.081
409,0.087
781,0.108
663,0.142
896,0.170
822,0.200
704,0.200
683,0.221
780,0.261
259,0.277
259,0.318
536,0.339
269,0.375
689,0.418
985,0.425
578,0.462
794,0.487
201,0.535
584,0.581
217,0.600
578,0.635
130,0.664
584,0.690
543,0.693
436,0.704
950,0.737
234,0.757
24,0.794
713,0.830
509,0.873
58,0.876
902,0.910
17,0.938
352,0.970
141,0.985
882,1.010
882,1.059
116,1.089
549,1.139
228,1.184
385,1.221
42,1.229
24,1.253
51,1.264
953,1.288
94,1.327
763,1.345
71,1.374
693,1.379
117,1.382
864,1.419
621,1.460
570,1.466
835,1.510
463,1.523
628,1.555
301,1.573
395,1.622
355,1.633
787,1.648
195,1.673
723,1.698
528,1.723
771,1.739
164,1.787
204,1.829
94,1.848
663,1.887
672,1.926
933,1.953
119,1.996
899,2.033
875,2.051
468,2.083
38,2.125
536,2.137
401,2.139
656,2.175
781,2.214
682,2.259
119,2.287
752,2.315
371,2.355
397,2.366
881,2.415
605,2.458
638,2.496
336,2.519
584,2.522
277,2.555
751,2.561
816,2.600
924,2.633
974,2.650
595,2.688
876,2.712
70,2.743
665,2.774
523,2.775
264,2.781
906,2.798
238,2.801
757,2.850
89,2.855
793,2.884
462,2.928
691,2.947
212,2.962
683,3.000
454,3.033
454,3.083
621,3.089
772,3.113
936,3.121
516,3.127
21,3.162
175,3.198
487,3.228
416,3.229
247,3.277
247,3.313
59,3.322
219,3.352
614,3.363
867,3.363
750,3.412
814,3.436
34,3.486
34,3.497
617,3.524
49,3.525
690,3.552
237,3.578
794,3.620
73,3.665
837,3.675
407,3.701
407,3.744
407,3.777
20,3.818
870,3.860
32,3.895
168,3.906
169,3.931
373,3.933
632,3.962
242,4.010
93,4.036
455,4.073
329,4.116
312,4.160
765,4.176
185,4.181
588,4.189
922,4.226
721,4.254
722,4.257
598,4.307
249,4.348
415,4.373
31,4.404
395,4.448
840,4.461
46,4.487
683,4.507
500,4.553
762,4.575
678,4.609
917,4.620
310,4.629
402,4.647
62,4.658
666,4.706
284,4.741
135,4.741
135,4.767
943,4.792
943,4.839
943,4.883
459,4.908
608,4.927
818,4.944
186,4.947
126,4.993
564,5.037
14,5.059
724,5.083
134,5.119
24,5.157
74,5.181
647,5.210
248,5.258
11,5.272
137,5.306
484,5.337
68,5.381
96,5.395
252,5.409
802,5.450
802,5.476
802,5.504
552,5.522
956,5.542
892,5.575
331,5.615
221,5.637
153,5.663
129,5.691
746,5.715
432,5.744
559,5.754
559,5.794
84,5.827
436,5.836
970,5.853
637,5.854
230,5.887
533,5.890
972,5.892
972,5.919
638,5.940
516,5.954
753,5.974
946,5.981
176,6.028
986,6.052
997,6.095
432,6.119
732,6.155
784,6.188
712,6.222
246,6.259
686,6.293
53,6.323
903,6.341
538,6.389
286,6.405
877,6.412
646,6.422
973,6.439
301,6.455
85,6.497
783,6.518
986,6.538
234,6.544
234,6.574
873,6.586
873,6.627
911,6.645
304,6.664
490,6.700
250,6.720
48,6.744
699,6.758
314,6.762
487,6.768
906,6.786
466,6.796
667,6.841
316,6.880
204,6.909
716,6.929
482,6.969
868,6.997
381,7.006
277,7.018
514,7.038
894,7.085
560,7.106
219,7.143
525,7.187
280,7.204
15,7.238
901,7.270
790,7.312
430,7.317
896,7.342
849,7.363
4,7.363
642,7.366
549,7.402
892,7.425
699,7.470
341,7.510
509,7.518
607,7.531
52,7.577
52,7.613
376,7.627
184,7.665
770,7.678
41,7.688
361,7.709
